state,District Name,block,Annual Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft (Total),Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Stage of Groundwater Development (%)
TS,Mahabubnagar,Bhoothpur,298.512,812.266,1110.778,1678.364,-9999.0,1510.528,73.536
TS,Jayashankar Bhupalpally,Bhupalpalle,143.0,928.0,1071.0,4794.0,-9999.0,4315.0,24.82
TS,Vikarabad,Bomraspet,138.816,1325.3,1464.116,1992.359,-9999.0,1793.123,81.652
TS,Nalgonda,Chandampet,91.795,1850.552,1942.348,3449.045,-9999.0,3104.141,62.573
TS,Nalgonda,Chandur,163.224,1697.145,1860.369,1617.989,-9999.0,1483.419,125.411
HP,Mandi,Dharmpur,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
HP,Mandi,Kotli,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
TS,Siddipet,"Cherial
Cherial
",197.0,2507.0,2704.0,3751.0,-9999.0,3376.0,80.095
TS,Rangareddy,Chevella,143.0,1172.0,1315.0,2818.124,-9999.0,2536.311,52.0
TS,Karimnagar,Chigurumamidi,147.0,2176.0,2323.0,2380.131,-9999.0,2142.118,108.491
TS,Mahabubnagar,Chinna_Chintha_Kunta,348.186,606.4,954.586,1768.0,-9999.0,1591.0,60.037
TS,Siddipet,Chinnakodur,48.096,3881.867,3929.963,3932.429,-9999.0,3641.449,107.923
TS,Kamareddy,Madnur,48.92,1164.21,1213.13,2103.128,-9999.0,1934.735,62.703
TS,Nalgonda,Chinthapalle,142.272,1428.962,1571.234,2442.076,-9999.0,2197.869,71.489
TS,Karimnagar,Choppadandi,223.229,1763.198,1986.427,2996.516,-9999.0,2779.864,71.458
TS,Yadadri Bhuvanagiri,Choutuppal,218.448,1953.822,2172.27,2946.488,-9999.0,2651.839,81.916
TS,Komaram Bheem-Asifabad,Dahegaon,164.0,1769.0,1933.0,4823.0,-9999.0,4455.0,43.389
HP,Sirmaur,Pachhad,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
TS,Mancherial,Dandepalle,172.0,2196.0,2368.0,4211.0,-9999.0,3790.0,62.48
TS,Nalgonda,Devarakonda,214.333,1873.423,2087.756,3538.382,-9999.0,3207.902,65.082
TS,Peddapalli,Dharmaram,204.262,1344.713,1548.975,4432.545,-9999.0,3989.29,38.828
TS,Nizamabad,Dharpalle,122.0,2039.481,2161.481,3542.029,-9999.0,3187.826,67.804
HP,Sirmaur,Nahan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
HP,Sirmaur,Dadahu,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
TS,Siddipet,Dubbak,51.12,4374.907,4426.027,4050.273,-9999.0,3645.245,121.419
TS,Peddapalli,Elgaid,76.086,972.713,1048.799,1607.547,-9999.0,1468.812,71.405
TS,Warangal Urban,Elkathurthi,208.068,1797.027,2005.096,2257.564,-9999.0,2036.484,98.459
TS,Rajanna Sircilla,Ellanthakunta,179.822,2648.828,2828.65,3215.562,-9999.0,2894.006,97.742
TS,Jogulamba Gadwal,Gadwal,66.431,988.958,1055.389,3643.761,-9999.0,3279.385,32.183
TS,Siddipet,Gajwel,56.7,1446.164,1502.864,2755.096,-9999.0,2487.786,60.41
TS,Mahabubnagar,Gandeed,89.0,1598.0,1687.0,2532.401,-9999.0,2279.161,74.0
TS,Karimnagar,Gangadhara,173.0,2393.079,2566.079,2327.207,-9999.0,2094.487,122.516
TS,Suryapet,Garidepalle,62.856,639.99,702.846,3779.115,-9999.0,3401.203,20.665
TS,Jogulamba Gadwal,Ghattu,150.287,1537.38,1687.668,2738.0,-9999.0,2492.0,67.723
TS,Jagtial,Gollapalle,155.171,2671.515,2826.686,3255.985,-9999.0,2930.386,96.461
TS,Wanaparthy,Gopalpeta,110.016,763.02,873.036,2321.611,-9999.0,2089.45,41.783
TS,Jangaon,Gundala,129.744,1892.03,2021.774,2223.442,-9999.0,2001.098,101.033
TS,Nalgonda,Gundlapalle,157.032,1716.359,1873.391,3407.97,-9999.0,3152.901,59.418
TS,Nalgonda,Gurrampode,165.024,2187.555,2352.579,3614.627,-9999.0,3253.164,72.317
TS,Warangal Urban,Hanamkonda,468.0,1830.0,2298.0,4262.0,-9999.0,3836.0,59.906
TS,Mahabubnagar,Hanwada,113.472,1151.643,1265.115,2027.236,-9999.0,1824.512,69.34
TS,Warangal Urban,Hasanparthy,136.0,1567.0,1703.0,2491.0,-9999.0,2299.0,74.076
TS,Sangareddy,Hathanoora,522.983,1730.017,2253.0,1923.27,-9999.0,1730.943,130.16
TS,Siddipet,Husnabad,305.582,3992.968,4298.55,3666.952,-9999.0,3300.257,130.249
TS,Suryapet,Huzur Nagar,136.08,1128.53,1264.61,3034.748,-9999.0,2744.259,46.082
TS,Jogulamba Gadwal,Itikyal,86.221,807.061,893.282,3981.204,-9999.0,3583.084,24.931
TS,Mahabubnagar,Jadcherla,333.714,1734.95,2068.663,2891.858,-9999.0,2602.673,79.482
TS,Siddipet,Jagadevpur,37.306,2075.316,2112.622,3130.255,-9999.0,2817.229,74.989
TS,Jagtial,Jagtial,221.0,2533.208,2754.208,4849.699,-9999.0,4373.699,62.972
TS,Suryapet,Jajireddigudem,93.5,1861.846,1955.346,2880.109,-9999.0,2592.098,75.435
TS,Rangareddy,Maheshwaram,209.0,2028.0,2237.0,3063.328,-9999.0,2766.514,81.0
TS,Nizamabad,Makloor,121.0,2426.41,2547.41,4024.344,-9999.0,3634.037,70.099
TS,Mahabubnagar,Makthal,173.466,1270.793,1444.26,3037.575,-9999.0,2734.575,52.845
TS,Jogulamba Gadwal,Maldakal,89.16,968.029,1057.189,1731.88,-9999.0,1558.692,67.825
TS,Karimnagar,Jammikunta,388.865,2967.238,3356.103,6109.632,-9999.0,5592.329,60.013
TS,Sangareddy,Jharasangam,47.97,614.049,662.019,1218.387,-9999.0,1096.548,60.373
TS,Sangareddy,Jinnaram,177.331,1028.843,1206.174,2730.708,-9999.0,2537.592,47.532
TS,Kamareddy,Jukkal,140.0,554.978,694.978,2108.5,-9999.0,1984.939,35.013
TS,Peddapalli,Julapalle,82.448,401.703,484.151,1634.217,-9999.0,1470.795,32.918
TS,Komaram Bheem-Asifabad,Kagaznagar,193.0,1342.0,1535.0,4584.634,-9999.0,4144.624,37.036
TS,Sangareddy,Kalher,185.0,1412.389,1597.389,2615.458,-9999.0,2430.212,65.714
TS,Rangareddy,Kandukur,138.316,1798.0,1936.316,2786.535,-9999.0,2639.261,73.0
TS,Vikarabad,Marpalle,82.0,864.0,946.0,1810.617,-9999.0,1629.555,58.0
TS,Karimnagar,Karimnagar,1884.956,2047.663,3932.619,4952.84,-9999.0,4488.862,87.608
TS,Nizamabad,Mortad,65.0,2424.81,2489.81,3530.205,-9999.0,3177.59,78.354
TS,Suryapet,Mothey,97.936,2012.411,2110.347,2092.553,-9999.0,1883.298,112.056
TS,Khammam,Mudigonda,72.0,2065.0,2137.0,3222.826,-9999.0,3026.023,70.621
TS,Jagtial,Kathlapur,290.31,3161.307,3451.617,3314.628,-9999.0,2983.165,115.703
TS,Nalgonda,Kattangoor,143.064,1451.94,1595.004,2348.314,-9999.0,2118.797,75.279
TS,Nizamabad,Nizamabad_Rural,84.98,4189.605,4274.585,7806.769,-9999.0,7032.453,60.784
TS,Kamareddy,Nizamsagar,76.0,1439.378,1515.378,3671.086,-9999.0,3381.947,44.808
TS,Suryapet,Kodad,331.17,1265.501,1596.671,3003.082,-9999.0,2702.774,59.075
TS,Nagarkurnool,Kodair,89.28,831.021,920.301,2146.929,-9999.0,1932.236,47.629
TS,Peddapalli,Peddapalle,365.67,1361.663,1727.333,4345.268,-9999.0,3910.741,44.169
TS,Nalgonda,Peddavura,167.647,2498.101,2665.748,5317.752,-9999.0,4785.977,55.699
TS,Siddipet,Koheda,156.218,925.386,1081.604,2402.421,-9999.0,2162.179,49.996
TS,Sangareddy,Kohir,62.31,605.591,667.901,1795.755,-9999.0,1616.179,41.326
TS,Nagarkurnool,Kollapur,189.216,792.918,982.134,4128.666,-9999.0,3715.799,26.431
TS,Siddipet,Kondapak,61.704,3796.295,3857.999,3860.096,-9999.0,3474.086,111.051
TS,Sangareddy,Kondapur,115.668,892.326,1007.994,1704.997,-9999.0,1534.497,65.689
TS,Rangareddy,Kondurg,80.928,1709.926,1790.854,2483.06,-9999.0,2234.754,80.129
TS,Jagtial,Koratla,405.197,3041.287,3446.484,4805.823,-9999.0,4325.241,79.683
TS,Mahabubnagar,Kosgi,33.732,890.426,924.158,1702.237,-9999.0,1532.014,60.323
TS,Nagarkurnool,Telkapalle,93.6,1053.892,1147.492,2403.204,-9999.0,2162.883,53.054
TS,Karimnagar,Thimmapur,254.293,1726.0,1980.293,2809.153,-9999.0,2528.238,78.327
TS,Nalgonda,Thipparthi,192.888,2498.79,2691.678,4390.277,-9999.0,3999.48,67.301
TS,Wanaparthy,Kothakota,191.5,1182.02,1373.52,4263.479,-9999.0,3836.479,35.789
TS,Rangareddy,Kothur,145.584,1392.45,1538.034,2240.333,-9999.0,2016.3,76.28
TS,Suryapet,Thungathurthi,89.568,1510.569,1600.137,2404.459,-9999.0,2164.013,73.943
TS,Vikarabad,Kulkacharla,137.0,1317.0,1454.0,3044.254,-9999.0,2739.828,53.0
TS,Nirmal,Kuntala,111.0,1305.0,1416.0,3047.0,-9999.0,2742.0,51.641
TS,Khammam,Kusumanchi,130.177,3467.904,3598.081,4985.551,-9999.0,4486.996,80.189
TS,Mancherial,Luxettipet,172.0,1403.0,1575.0,3130.0,-9999.0,2817.0,55.911
TS,Rangareddy,Madgul,136.332,729.19,865.522,2105.945,-9999.0,1895.351,45.666
TS,Jagtial,Mallapur,223.687,2876.319,3100.006,3536.313,-9999.0,3219.99,96.274
TS,Karimnagar,Manakondur,246.059,3683.093,3929.153,5450.758,-9999.0,4905.683,80.094
TS,Jangaon,Kodakandla,171.0,2679.0,2850.0,2875.0,-9999.0,2587.0,110.166
TS,Nagarkurnool,Nagar_Kurnool,114.336,1108.77,1223.106,2343.206,-9999.0,2108.885,57.998
RJ,Ajmer,Arain,396.94,4286.34,4683.28,4545.17,-9999.0,4090.65,114.49
TS,Mahabubnagar,Utkoor,97.654,940.474,1038.128,2461.207,-9999.0,2215.086,46.866
RJ,Bhilwara,Suwana,1123.87,5696.55,6820.42,4883.79,-9999.0,4395.4,155.172
RJ,Nagaur,Degana,1458.4,5259.9,6718.3,4157.72,-9999.0,3741.95,179.54
RJ,Nagaur,Jayal,1744.0,3724.75,5468.75,5846.88,-9999.0,5262.19,103.93
RJ,Nagaur,Ladnu,1320.93,2679.27,4000.2,4451.49,-9999.0,4006.34,99.85
RJ,Nagaur,Makrana,1964.0,2816.0,4780.0,4271.48,-9999.0,3844.33,124.34
RJ,Nagaur,Merta,1360.0,13069.65,14429.65,4905.09,-9999.0,4483.6,321.83
RJ,Nagaur,Mundwa,3258.4,18848.8,22107.2,7059.36,-9999.0,6353.43,347.96
RJ,Nagaur,Nagaur,1972.8,2666.4,4639.2,5323.59,-9999.0,4791.23,96.83
RJ,Nagaur,Parbatsar,1021.44,4643.75,5665.19,3259.11,-9999.0,2933.2,193.14
RJ,Nagaur,Riyan,1094.88,4980.25,6075.13,4859.47,-9999.0,4373.53,138.91
RJ,Tonk,Deoli,1335.9,6106.69,7442.59,9224.33,-9999.0,8430.96,88.28
RJ,Tonk,Malpura,1304.78,5506.27,6811.05,5148.61,-9999.0,4633.75,146.99
RJ,Tonk,Niwai,1166.82,7781.56,8948.38,8992.38,-9999.0,8093.14,110.57
RJ,Bharatpur,Bayana,800.77,8124.24,8925.01,9189.04,-9999.0,8324.93,107.21
TS,Sangareddy,Manoor,68.0,520.0,588.0,1749.482,-9999.0,1574.533,37.344
RJ,Bikaner,Bikaner,2666.88,8505.6,11172.48,6144.31,-9999.0,5837.09,191.4
RJ,Bikaner,Dungargarh,1698.4,5081.7,6780.1,5221.21,-9999.0,4960.16,136.69
RJ,Bikaner,Kolayat,1004.16,1365.36,2369.52,3053.39,-9999.0,2900.72,81.69
RJ,Bikaner,Lunkaransar,703.2,1036.56,1739.76,3627.16,-9999.0,3445.8,50.49
RJ,Bikaner,Nokha,2876.06,10943.76,13819.82,7438.25,-9999.0,7066.34,195.57
RJ,Churu,Churu,450.45,414.12,864.57,1034.53,-9999.0,982.8,87.97
RJ,Churu,Rajgarh,473.2,2434.56,2907.76,816.31,-9999.0,775.49,374.96
RJ,Churu,Ratangarh,506.51,1503.0,2009.51,2843.27,-9999.0,2701.1,74.4
RJ,Churu,Sardarshahar,661.38,1581.0,2242.38,5931.64,-9999.0,5635.07,39.79
RJ,Ganganagar,Anupgarh,28.0,706.5,734.5,9750.48,-9999.0,8775.43,8.37
TS,Medchal-Malkajgiri,Medchel,222.0,1354.0,1576.0,1965.42,-9999.0,1768.878,89.0
TS,Jagtial,Medipalle,269.279,5274.154,5543.433,4634.054,-9999.0,4190.385,132.289
TS,Jagtial,Metpalle,347.986,2282.792,2630.778,3852.717,-9999.0,3467.445,75.871
TS,Mahabubnagar,Midjil,309.492,2789.764,3099.256,3121.103,-9999.0,2808.993,110.726
TS,Nalgonda,Miryalaguda,408.6,954.4,1363.0,4237.474,-9999.0,3836.754,35.525
TS,Rangareddy,Moinabad,132.0,1284.0,1416.0,2090.975,-9999.0,1881.877,75.0
TS,Siddipet,Mulug,30.588,1363.744,1394.332,1592.96,-9999.0,1465.391,95.151
TS,Suryapet,Munagala,93.862,1772.616,1866.477,3103.299,-9999.0,2792.969,66.828
TS,Sangareddy,Munipalli,58.65,325.689,384.339,1565.737,-9999.0,1409.163,27.274
TS,Nalgonda,Munugode,170.352,1630.385,1800.737,1862.081,-9999.0,1693.361,106.341
TS,Nalgonda,Nakrekal,177.336,2315.148,2492.484,2495.092,-9999.0,2348.934,106.111
TS,Nalgonda,Nalgonda,169.704,3437.441,3607.145,5352.551,-9999.0,4872.446,74.032
TS,Nalgonda,Nampalle,145.656,1722.217,1867.873,2407.239,-9999.0,2166.515,86.216
TS,Nizamabad,Nandipet,69.16,2887.952,2957.112,5388.929,-9999.0,4902.701,60.316
TS,Siddipet,Nanganur,34.632,2466.536,2501.168,2580.772,-9999.0,2414.612,103.585
TS,Yadadri Bhuvanagiri,Narayanapur,132.624,1175.705,1308.329,1874.767,-9999.0,1715.609,76.26
TS,Sangareddy,Narayankhed,81.0,738.0,819.0,1922.601,-9999.0,1730.341,47.332
TS,Nalgonda,Narketpalle,159.192,1621.89,1781.082,2612.953,-9999.0,2383.852,74.714
TS,Warangal Rural,Narsampet,105.0,1732.0,1837.0,2143.0,-9999.0,1978.0,92.872
TS,Nizamabad,Navipet,118.0,1855.275,1973.275,3456.013,-9999.0,3136.315,62.917
RJ,Ganganagar,Karanpur,105.0,2576.25,2681.25,4781.49,-9999.0,4303.34,62.31
TS,Suryapet,Neredcherla,444.672,2378.59,2823.262,7229.622,-9999.0,6510.364,43.366
TS,Nalgonda,Nidamanur,162.432,2160.511,2322.943,5526.85,-9999.0,4974.165,46.7
RJ,Hanumangarh,Hanumangarh,131.25,2877.45,3008.7,3966.86,-9999.0,3570.17,84.27
RJ,Hanumangarh,Nohar,12.6,765.96,778.56,976.76,-9999.0,879.08,88.57
RJ,Dausa,Lalsot,328.61,12135.6,12464.21,6741.13,-9999.0,6067.02,205.44
RJ,Dausa,Mahwa,461.44,4669.05,5130.49,3792.13,-9999.0,3412.92,150.33
RJ,Jaipur,Sambhar,1182.76,15961.66,17144.42,4973.73,-9999.0,4476.36,383.0
RJ,Jaipur,Sanganer,2331.44,9639.34,11970.78,5412.03,-9999.0,4870.83,245.76
RJ,Jaipur,Viratnagar,1136.15,6605.31,7741.46,5015.52,-9999.0,4513.97,171.5
RJ,Jhunjhunun,Alsisar,914.98,1777.06,2692.04,2969.95,-9999.0,2672.96,100.71
TS,Wanaparthy,Pangal,201.976,1115.98,1317.956,3374.655,-9999.0,3037.1,43.382
RJ,Jhunjhunun,Nawalgarh,1463.58,8721.47,10185.05,3648.29,-9999.0,3465.88,293.87
RJ,Jhunjhunun,Surajgarh,1467.42,6747.3,8214.72,3655.5,-9999.0,3289.95,249.69
RJ,Jhunjhunun,Udaipurwati,1708.49,9036.25,10744.74,4762.51,-9999.0,4286.25,250.68
RJ,Sikar,Danta Ramgarh,824.74,6940.7,7765.44,5088.85,-9999.0,4579.97,169.55
RJ,Sikar,Dhond,679.81,5895.94,6575.75,4508.34,-9999.0,4057.51,162.06
TS,Vikarabad,Pargi,130.0,1329.0,1459.0,2235.999,-9999.0,2012.399,73.0
TS,Warangal Rural,Parkal,143.0,2043.0,2186.0,3326.0,-9999.0,3160.0,69.177
TS,Sangareddy,Patancheruvu,232.122,1371.679,1603.801,2819.597,-9999.0,2547.508,62.956
RJ,Sikar,Fatehpur,1182.11,1643.9,2826.01,4423.33,-9999.0,3981.0,70.99
RJ,Sikar,Khandela,588.34,2534.93,3123.27,3203.32,-9999.0,3010.7,103.74
RJ,Sikar,Lachhmangarh,1038.49,5096.93,6135.42,5009.98,-9999.0,4508.98,136.07
RJ,Sikar,Neem Ka Thana,862.82,4495.75,5358.57,3209.8,-9999.0,2888.82,185.49
RJ,Sikar,Piprali,1170.3,4756.41,5926.71,3526.97,-9999.0,3174.27,186.71
RJ,Sikar,Srimadhopur,566.62,6675.68,7242.3,3891.68,-9999.0,3502.51,206.77
TS,Jagtial,Pegadapalle,165.137,1490.614,1655.751,3046.743,-9999.0,2742.069,60.383
RJ,Barmer,Balotra,956.43,2561.76,3518.19,2406.21,-9999.0,2165.59,162.46
RJ,Barmer,Barmer,689.0,568.72,1257.72,2625.64,-9999.0,2464.35,51.04
RJ,Barmer,Chohtan,971.43,3647.52,4618.95,5246.45,-9999.0,4721.81,97.82
RJ,Barmer,Dhorimanna,611.79,5847.6,6459.39,5160.63,-9999.0,4644.57,139.07
RJ,Barmer,Sheo,1697.34,1437.36,3134.7,1901.5,-9999.0,1711.37,183.17
RJ,Barmer,Sindhari,589.41,3659.28,4248.69,4579.97,-9999.0,4203.03,101.09
RJ,Barmer,Siwana,316.8,6254.72,6571.52,5192.72,-9999.0,4673.45,140.61
RJ,Jaisalmer,Jaisalmer,1321.67,5327.18,6648.85,2184.23,-9999.0,1998.41,332.71
RJ,Jaisalmer,Sam,1261.46,1951.25,3212.71,2848.3,-9999.0,2563.47,125.33
RJ,Jaisalmer,Sankra,690.1,5280.13,5970.23,1984.06,-9999.0,1800.11,331.66
RJ,Jalore,Ahore,483.84,2763.14,3246.98,2950.84,-9999.0,2698.59,120.32
RJ,Jalore,Bhinmal,615.6,15100.69,15716.29,7579.83,-9999.0,6897.81,227.845
RJ,Jalore,Chitalwana,134.52,5939.73,6074.25,6696.1,-9999.0,6361.29,95.488
RJ,Jalore,Jalore,539.52,5452.61,5992.13,4512.07,-9999.0,4060.86,147.558
RJ,Jalore,Jaswantpura,406.68,6162.53,6569.21,5111.79,-9999.0,4600.61,142.79
RJ,Jodhpur,Bap,1059.2,2906.64,3965.84,7204.42,-9999.0,6483.97,61.16
RJ,Jodhpur,Bhopalgarh,835.8,10594.45,11430.25,5628.49,-9999.0,5065.65,225.64
RJ,Jodhpur,Bilara,581.74,10084.1,10665.84,4450.16,-9999.0,4005.14,266.3
TS,Vikarabad,Pudur,116.0,754.0,870.0,2452.071,-9999.0,2206.864,39.0
TS,Sangareddy,Pulkal,139.047,1055.181,1194.228,2510.209,-9999.0,2304.097,51.831
RJ,Pali,Pali,21.03,656.6,677.63,1072.61,-9999.0,965.35,70.19
RJ,Pali,Raipur,192.0,2417.76,2609.76,2033.25,-9999.0,1845.3,141.43
TS,Jagtial,Raikal,255.134,2306.132,2561.266,4987.681,-9999.0,4734.293,54.1
TS,Sangareddy,Raikode,20.088,1298.427,1318.515,1241.097,-9999.0,1116.988,118.042
RJ,Baran,Baran,969.24,11912.79,12882.03,8562.28,-9999.0,7706.04,167.17
RJ,Baran,Chhabra,537.46,6866.6,7404.06,6337.46,-9999.0,5703.72,129.81
RJ,Baran,Kishanganj,475.6,7623.6,8099.2,10592.0,-9999.0,9532.8,84.96
RJ,Bundi,Bundi,474.58,5544.59,6019.17,8142.97,-9999.0,6657.75,90.41
RJ,Bundi,Hindoli,632.97,7042.08,7675.05,7695.37,-9999.0,6654.46,115.34
RJ,Bundi,Keshorai Patan,580.13,9324.46,9904.59,12763.76,-9999.0,11487.39,86.22
TS,Rangareddy,Rajendranagar,100.0,445.0,545.0,1538.712,-9999.0,1384.841,39.0
RJ,Bundi,Nainwa,832.09,5544.84,6376.93,6118.56,-9999.0,5506.7,115.8
RJ,Bundi,Talera,210.17,3012.92,3223.09,5719.82,-9999.0,4626.38,69.67
RJ,Jhalawar,Bakani,227.02,8144.47,8371.49,10440.94,-9999.0,8525.13,98.2
RJ,Jhalawar,Jhalrapatan,343.66,10111.32,10454.98,11822.72,-9999.0,10640.45,98.26
RJ,Jhalawar,Khanpur,279.25,8823.51,9102.76,11136.07,-9999.0,8303.05,109.63
RJ,Jhalawar,Pirawa,245.56,9585.12,9830.68,12634.43,-9999.0,9844.7,99.86
RJ,Kota,Itawa,607.19,11281.88,11889.07,14533.31,-9999.0,13079.98,90.9
RJ,Kota,Khairabad,902.11,6391.04,7293.15,5453.48,-9999.0,4908.13,148.59
RJ,Kota,Ladpura,1480.3,7942.44,9422.74,12707.26,-9999.0,11436.54,82.39
RJ,Kota,Sangod,1026.79,12112.11,13138.9,8236.09,-9999.0,7412.48,177.25
RJ,Kota,Sultanpur,1003.76,11946.19,12949.95,16741.74,-9999.0,15388.54,84.15
TS,Karimnagar,Ramadugu,296.094,2183.584,2479.678,2223.346,-9999.0,2001.012,123.921
TS,Peddapalli,Ramagundam,1975.007,1220.9,3195.907,4806.084,-9999.0,4369.073,73.148
TS,Yadadri Bhuvanagiri,Ramannapeta,248.184,1425.967,1674.151,2818.767,-9999.0,2536.89,65.992
TS,Medak,Ramayampet,19.008,3091.144,3110.152,4171.516,-9999.0,3754.365,82.841
RJ,Banswara,Kushalgarh,146.29,1281.3,1427.59,2416.35,-9999.0,2053.9,69.506
RJ,Banswara,Sajjangarh,170.9,484.98,655.88,1381.47,-9999.0,1174.25,55.855
RJ,Chittaurgarh,Bari Sadri,114.3,2952.36,3066.66,2276.5,-9999.0,2048.85,149.677
TS,Komaram Bheem-Asifabad,Rebbana,265.0,820.0,1085.0,3406.0,-9999.0,3086.0,35.159
TS,Jayashankar Bhupalpally,Regonda,159.0,1926.0,2085.0,4345.0,-9999.0,3911.0,53.311
TS,Kamareddy,Sadasivanagar,135.0,2186.33,2321.33,2687.936,-9999.0,2419.143,95.957
TS,Sangareddy,Sadasivpet,56.232,1185.905,1242.137,2635.211,-9999.0,2371.69,52.373
TS,Nalgonda,Saligouraram,403.632,1532.716,1936.348,2571.983,-9999.0,2410.473,80.331
TS,Sangareddy,Sangareddy,118.692,1049.669,1168.361,2374.426,-9999.0,2136.983,54.673
RJ,Pratapgarh,Arnod,127.44,3818.22,3945.66,3235.42,-9999.0,2911.88,135.502
RJ,Pratapgarh,Chhoti Sadri,68.21,4075.79,4144.0,3232.52,-9999.0,2909.26,142.442
RJ,Pratapgarh,Dhariawad,146.18,1947.08,2093.26,2488.05,-9999.0,2239.24,93.481
RJ,Pratapgarh,Pratapgarh,189.19,6020.25,6209.44,5612.23,-9999.0,5051.0,122.935
RJ,Rajsamand,Khamnor,296.78,1974.99,2271.77,2619.49,-9999.0,2357.54,96.362
RJ,Rajsamand,Kumbhalgarh,198.06,1880.6,2078.66,2337.12,-9999.0,2103.41,98.823
RJ,Bhilwara,Mandalgarh,381.81,7649.91,8031.72,6760.11,-9999.0,6084.11,132.011
RJ,Nagaur,Didwana,1979.2,7701.25,9680.45,6401.05,-9999.0,5760.95,168.04
RJ,Bharatpur,Sewar,1627.5,4004.04,5631.54,4538.55,-9999.0,4084.69,137.87
RJ,Karauli,Sapotra,1007.35,9743.11,10750.46,10981.46,-9999.0,9963.53,107.9
RJ,Churu,Sujangarh,437.46,4013.1,4450.56,3556.45,-9999.0,3378.63,131.73
RJ,Rajsamand,Amet,213.09,1261.53,1474.62,1444.38,-9999.0,1299.94,113.438
RJ,Rajsamand,Bhim,204.73,1169.0,1373.73,1281.21,-9999.0,1153.09,119.135
RJ,Rajsamand,Deogarh,124.25,1053.32,1177.57,1346.13,-9999.0,1211.51,97.199
UP,Agra,Akola,370.086,4895.38,5265.466,4886.888,-9999.0,4642.543,113.418
TS,Rangareddy,Shabad,153.0,1196.0,1349.0,2123.322,-9999.0,1910.99,71.0
TS,Rangareddy,Shamshabad,258.0,1425.0,1683.0,2099.794,-9999.0,1889.815,89.0
TS,Karimnagar,Shankarapatnam,301.986,3026.82,3328.806,2634.768,-9999.0,2371.291,140.379
TS,Rangareddy,Shankarpalle,96.0,1203.0,1299.0,1824.202,-9999.0,1641.781,79.0
TS,Warangal Rural,Shayampet,85.0,1452.0,1537.0,2179.0,-9999.0,2040.0,75.343
TS,Medak,Shivampet,467.0,1250.0,1717.0,2753.799,-9999.0,2478.419,69.278
TS,Siddipet,Siddipet_Urban,47.268,3677.138,3724.406,3913.438,-9999.0,3610.86,103.145
UP,Agra,Bichpuri,3685.089,4493.98,8179.069,4152.881,-9999.0,3737.593,218.833
AN,North & Middle Andaman,Interview Island,0.03,0.0,0.03,356.16,-9999.0,320.544,0.009
TS,Rajanna Sircilla,Sirsilla,242.35,2839.27,3081.619,3550.062,-9999.0,3239.255,95.114
TS,Peddapalli,Srirampur,140.0,1042.561,1182.561,2572.278,-9999.0,2315.05,51.057
AN,North & Middle Andaman,North Passage Island,0.006,0.0,0.006,127.963,-9999.0,115.167,0.005
TS,Nagarkurnool,Tadoor,224.247,1588.416,1812.663,2272.486,-9999.0,2045.238,88.628
AN,South Andaman,Neil Island,6.304,0.0,6.304,158.326,-9999.0,142.493,4.424
AN,South Andaman,Rutland Island,0.719,0.0,0.719,2292.271,-9999.0,2063.044,0.035
TS,Adilabad,Tamsi,140.0,880.0,1020.0,2946.0,-9999.0,2651.0,38.476
TS,Vikarabad,Tandur,125.0,619.0,744.0,2555.867,-9999.0,2300.873,32.0
TS,Nirmal,Tanur,116.0,1236.0,1352.0,2583.0,-9999.0,2325.0,58.151
TS,Khammam,Thirumalayapalem,135.988,3359.375,3495.363,3544.64,-9999.0,3258.141,107.281
TS,Nalgonda,Thripuraram,44.928,1072.955,1117.883,2742.972,-9999.0,2468.675,45.283
AN,Nicobars,Kamorta Island,7.649,0.009,7.658,763.327,-9999.0,686.994,1.115
AN,Nicobars,Nancowrie Island,2.114,0.01,2.124,150.35,-9999.0,135.315,1.57
TS,Nagarkurnool,Uppunuthala,78.048,1433.62,1511.668,2137.183,-9999.0,1923.465,78.591
AN,Nicobars,Katchal Island,5.569,0.006,5.575,817.896,-9999.0,736.106,0.757
AN,Nicobars,Chowra Island,2.634,0.0,2.634,145.517,-9999.0,130.965,2.011
TS,Karimnagar,Saidapur,201.374,1963.802,2165.176,3327.735,-9999.0,2994.962,72.294
TS,Nizamabad,Velpur,172.0,2039.53,2211.53,2335.554,-9999.0,2101.999,105.211
TS,Yadadri Bhuvanagiri,Valigonda,281.312,1830.214,2111.526,3518.997,-9999.0,3167.097,66.671
TS,Nagarkurnool,Vangoor,174.096,1326.254,1500.35,3051.818,-9999.0,2746.636,54.625
TS,Karimnagar,Veenavanka,178.37,2574.831,2753.201,3888.9,-9999.0,3500.01,78.663
TS,Wanaparthy,Veepangandla,99.512,1045.95,1145.462,8507.561,-9999.0,7656.805,14.96
